account_id,bank_district_id,date,year,LOR,disp_id,client_id,client_district_id,gender,age,age_group,total_credit96,total_withdrawal96,RFM_score,total_credit97,total_withdrawal97,had_loan_1997,had_card_issued_1997
3007,16,930202,1993,3,3632,3632,15,F,53,50,293536.7,304147.2,10,293067,292047.2,0,0
2574,68,930202,1993,3,3105,3105,68,M,49,40,191405.2,185427.2,9,219237,178227.2,0,0
862,64,930202,1993,3,1039,1039,70,F,16,10,579440.1,564524,10,579731.9,569440,0,0
1132,1,930203,1993,3,1359,1359,1,F,45,40,1256807.2,1273692,13,628081.1,611287,0,0
4484,54,930203,1993,3,5409,5409,15,M,48,40,188532.5,190895.2,9,860934.3,848115.2,0,0
943,1,930203,1993,3,1137,1137,1,F,19,10,39515.7,37543.2,7,39660.5,35533.2,0,0
3514,7,930203,1993,3,4243,4243,7,M,38,30,41768.7,38197.2,7,42026.8,39067.2,0,0
3983,67,930204,1993,3,4803,4803,45,M,51,50,191720.6,182575.2,9,191768.6,197875.2,0,0
9265,1,930204,1993,3,11101,11409,32,F,16,10,482523.6,518961.2,11,785737.8,743693.2,0,0
465,32,930204,1993,3,559,559,32,F,24,20,177655.1,176787.2,9,177014.4,190087.2,0,0
982,54,930205,1993,3,1183,1183,54,M,54,50,75583.7,60691.2,7,73163.5,69811.2,0,0
411,70,930205,1993,3,496,496,70,F,45,40,242838.6,252623.2,10,252323.6,218303.2,0,0
890,14,930205,1993,3,1072,1072,60,F,30,30,98418.6,108427.2,7,94968.8,94047.2,0,0
627,63,930205,1993,3,754,754,63,F,49,40,293277,278711.2,10,293364.5,290711.2,0,0
2429,61,930206,1993,3,2935,2935,61,F,52,50,196801.1,186635.2,8,203930.4,197455.2,0,0
3960,64,930206,1993,3,4777,4777,64,F,67,60,118004.6,122206.4,11,58639.1,62033.2,0,0
2256,48,930206,1993,3,2731,2731,38,M,69,60,57770.9,51519.2,7,57674.1,59649.2,0,0
8051,1,930207,1993,3,9637,9945,31,F,28,20,680980.4,704874,13,340248.2,332655,0,0
2647,73,930208,1993,3,3193,3193,28,F,46,40,168209.8,162211.2,9,176823.1,144011.2,0,0
2241,6,930208,1993,3,2714,2714,6,F,26,20,159183.1,148467.2,8,155014.9,147667.2,0,0
5622,70,930208,1993,3,6789,6789,57,M,17,10,388689.9,410366.2,10,166564.3,167375.2,0,0
2884,1,930208,1993,3,3486,3486,77,M,34,30,108328.9,99523.2,7,114313.3,86723.2,0,0
1830,10,930208,1993,3,2220,2220,20,F,44,40,302281.4,284078.4,12,151286.6,147819.2,0,0
7753,74,930208,1993,3,9285,9593,74,F,28,20,876427.9,825025.6,10,588258.3,656475.2,0,0
244,24,930208,1993,3,295,295,12,M,57,50,69741.2,53371.2,7,57023.1,61971.2,0,0
1477,1,930208,1993,3,1790,1790,1,M,43,40,38661.2,36115.2,6,38834,32275.2,0,0
4240,50,930208,1993,3,5111,5111,50,M,37,30,370570.5,378443.2,9,366083,395933.2,0,0
1006,6,930208,1993,3,1210,1210,6,M,35,30,50622.3,50197.2,7,60533.6,56547.2,0,0
830,74,930208,1993,3,999,999,74,F,30,30,437565.2,409030.4,14,219406.3,229195.2,0,0
9188,45,930208,1993,3,11006,11314,45,M,60,60,167085.2,155170.8,8,167764.5,167470.8,0,0
1965,57,930208,1993,3,2390,2390,57,M,58,50,232400.1,221751,9,492569.2,470381,0,0
1134,6,930209,1993,3,1363,1363,6,F,17,10,159683.1,165435.2,9,158562.9,159835.2,0,0
1601,10,930209,1993,3,1941,1941,10,F,75,70,99079.4,99526.4,12,49581.7,48653.2,0,0
2861,38,930210,1993,3,3457,3457,75,F,73,70,72273.3,72721.2,8,71985.6,81001.2,0,0
813,16,930210,1993,3,976,976,16,F,41,40,159721.7,150375.2,9,160033.3,158665.2,0,0
2585,75,930210,1993,3,3120,3120,75,M,32,30,195668.4,212955.2,9,194874.4,197095.2,0,0
2220,16,930210,1993,3,2689,2689,16,M,73,70,74790,82411.2,8,74620.4,75271.2,0,0
2763,64,930211,1993,3,3336,3336,64,F,45,40,436299.1,455580.2,10,681619.4,618828.2,0,0
2342,51,930211,1993,3,2830,2830,51,M,22,20,40123.3,37813.2,7,40205.9,39823.2,0,0
1944,72,930212,1993,3,2363,2363,43,M,49,40,235480,234427.2,10,235661.8,230567.2,0,0
1966,27,930212,1993,3,2391,2391,1,M,54,50,269079.6,269803.2,9,269467.5,252063.2,0,0
1801,46,930213,1993,3,2181,2181,46,M,28,20,253485.2,227139.2,9,171515.6,196404.2,0,0
2543,68,930213,1993,3,3070,3070,46,M,76,70,75886.5,64205.2,7,76344.6,59495.2,0,0
2293,31,930213,1993,3,2776,2776,31,F,62,60,81902.4,81189.2,7,82532.9,81589.2,0,0
11013,1,930214,1993,3,13231,13539,63,M,18,10,553507.6,561122,10,552268.3,548964,0,0
2423,30,930214,1993,3,2928,2928,38,M,64,60,68849.5,70297.2,8,68853.6,67117.2,0,0
142,51,930215,1993,3,171,171,51,M,67,60,111385,103130.4,12,55829.5,56965.2,0,0
3424,74,930216,1993,3,4139,4139,74,M,27,20,507483.7,458012.2,10,332099.8,320041.2,0,0
539,13,930216,1993,3,649,649,13,F,18,10,373632.1,384247.8,9,623938.4,603947,0,0
979,21,930216,1993,3,1180,1180,21,M,52,50,234712,253223.2,9,234593.8,236323.2,0,0
3554,66,930216,1993,3,4289,4289,66,M,15,10,96440.4,97075.2,8,79057.9,60075.2,0,0
3545,51,930217,1993,3,4279,4279,51,M,47,40,264420.3,286591.2,10,264445.1,262211.2,0,0
3047,16,930217,1993,3,3684,3684,16,F,35,30,42835.7,39947.2,6,42597.1,48157.2,0,0
3374,21,930217,1993,3,4080,4080,21,F,53,50,33662.8,24729.7,7,91132.6,62924.2,0,0
96,68,930218,1993,3,114,114,74,F,27,20,1157947.4,1237418.4,11,594896.4,608628.2,0,0
461,30,930218,1993,3,554,554,30,F,71,70,157371.6,151830.4,11,78926.6,75085.2,0,0
3593,1,930218,1993,3,4336,4336,19,F,27,20,207115.7,215955.2,10,206505.3,204695.2,0,0
3026,24,930218,1993,3,3655,3655,59,M,28,20,271183,299703.2,10,271350,234863.2,0,0
1054,10,930219,1993,3,1266,1266,71,F,44,40,128385.7,137307.2,8,127487.4,123567.2,0,0
2433,71,930219,1993,3,2939,2939,8,M,78,70,58212.5,64799.2,7,58099,54589.2,0,0
3691,50,930219,1993,3,4451,4451,50,F,69,60,79651.8,78349.2,8,79440.8,83589.2,0,0
3787,70,930219,1993,3,4567,4567,70,M,59,50,275339.3,282659.2,10,274952.2,270459.2,0,0
128,2,930219,1993,3,153,153,13,F,15,10,65382.6,55025.2,6,61498.4,51975.2,0,0
3168,39,930220,1993,3,3831,3831,11,M,78,70,153819.4,156018.4,12,77017.9,70539.2,0,0
4937,12,930220,1993,3,5965,5965,50,M,45,40,755826.4,754620.6,11,164097.6,176832.2,0,0
2124,69,930220,1993,3,2569,2569,69,M,48,40,562241.6,586966.4,11,281331.5,267683.2,0,0
322,1,930220,1993,3,392,392,74,F,46,40,436685.2,489790.4,13,217926.2,219335.2,0,0
4355,31,930221,1993,3,5246,5246,70,M,14,10,91790.2,91675.2,7,74087.3,61475.2,0,0
1678,1,930222,1993,3,2038,2038,1,F,16,10,303639.7,321235.2,9,302817.5,335735.2,0,0
2396,2,930222,1993,3,2893,2893,2,F,69,60,51527.9,46341.2,7,51624.9,52261.2,0,0
1005,54,930223,1993,3,1209,1209,36,F,39,30,454352.2,385896,10,487615.3,493974,0,0
697,28,930223,1993,3,835,835,28,F,53,50,580405.4,558358.4,13,294259.4,323899.2,0,0
925,59,930223,1993,3,1114,1114,59,M,16,10,242644.3,213015.2,9,242985.3,257315.2,0,0
2110,64,930223,1993,3,2554,2554,64,M,55,50,38025.1,37535.2,6,37841.3,41405.2,0,0
1366,60,930224,1993,3,1654,1654,60,M,33,30,103854.6,106523.2,8,117553.6,111063.2,0,0
1050,57,930224,1993,3,1260,1260,57,F,51,50,676192.8,645350,13,341114.7,362228,0,0
3117,33,930224,1993,3,3770,3770,35,F,71,70,65225.8,59275.2,7,65193.8,64855.2,0,0
562,50,930225,1993,3,675,675,50,M,21,20,120117.2,127075.2,8,146457.3,163125.2,0,0
5369,54,930225,1993,3,6481,6481,1,F,38,30,83661.9,97579.2,8,84773.8,91575.2,0,0
2242,7,930225,1993,3,2715,2715,7,M,39,30,567584.9,550097,10,569671.2,569316,0,1
197,1,930225,1993,3,239,239,1,F,22,20,283502.9,297983.2,9,286002,257943.2,0,0
496,69,930226,1993,3,596,596,69,M,48,40,79844.2,80859.2,7,95702.7,82679.2,0,0
2,1,930226,1993,3,2,2,1,M,51,50,577085.8,549148.4,12,281578,281093.2,0,0
7401,1,930226,1993,3,8865,9173,1,M,51,50,576989,552748.4,12,281397,284493.2,0,0
2486,1,930227,1993,3,3001,3001,1,M,38,30,567288,542883.2,10,692714.2,671118.2,0,0
428,1,930227,1993,3,515,515,1,M,64,60,161964.6,126458.4,12,81706.7,71539.2,0,0
3651,23,930227,1993,3,4402,4402,23,M,67,60,62145.9,51951.2,7,62562.8,54561.2,0,0
1775,17,930227,1993,3,2152,2152,17,F,67,60,84041.6,92651.2,7,84138,76551.2,0,0
1688,70,930227,1993,3,2049,2049,70,M,69,60,132624,130586.4,11,66283.6,70703.2,0,0
361,51,930227,1993,3,439,439,51,F,28,20,309860,312023.2,9,309172.5,290823.2,0,0
1829,43,930227,1993,3,2218,2218,43,M,28,20,195712.6,136966.4,13,97626,116423.2,0,0
1575,1,930227,1993,3,1908,1908,33,M,76,70,66248.2,72021.2,7,66171.2,59581.2,0,0
9203,70,930227,1993,3,11023,11331,70,F,52,50,434735.7,464275.2,10,801263.5,779792.2,0,1
3008,72,930227,1993,3,3633,3633,72,M,63,60,84788.4,70365.2,8,85216.2,78875.2,0,0
239,69,930301,1993,3,289,289,54,M,38,30,803808.4,804472,11,386029.1,378731,0,0
3302,21,930302,1993,3,3994,3994,21,F,31,30,47064.1,59205.2,7,65355.6,42195.2,0,0
415,25,930303,1993,3,501,501,62,M,59,50,176332.8,179375.2,9,176688.4,175955.2,0,0
3513,20,930303,1993,3,4241,4241,20,F,46,40,509347.2,458438.4,12,251121.1,266179.2,0,0
4134,7,930303,1993,3,4979,4979,7,M,59,50,186567.7,200648.2,8,309669.4,302416.2,0,0
1077,14,930303,1993,3,1292,1292,14,M,19,10,80784.7,69925.2,8,97226.4,79375.2,0,0
1713,43,930303,1993,3,2078,2078,10,F,18,10,42802.2,43175.2,7,54059,40325.2,0,0
1378,59,930304,1993,3,1668,1668,20,F,47,40,320484.4,310563.2,11,321806.9,286163.2,0,0
2503,1,930305,1993,3,3021,3021,1,M,35,30,255868.6,268406.4,12,130227.9,127643.2,0,0
559,46,930305,1993,3,672,672,46,F,67,60,68933,74405.2,8,68995.6,60585.2,0,0
6555,38,930305,1993,3,7914,7914,38,F,30,30,135687.7,152871,8,611689.4,548660,0,0
744,42,930306,1993,3,892,892,42,F,74,70,69721.7,78735.2,8,70039.4,51565.2,0,0
882,9,930306,1993,3,1062,1062,16,M,21,20,303573.2,306534.4,13,152133.9,150627.2,0,0
86,54,930307,1993,3,102,102,74,F,38,30,79801.4,72218.4,10,40088.8,37939.2,0,0
1126,56,930308,1993,3,1352,1352,54,F,25,20,82401.8,68867.2,7,74506.8,73967.2,0,0
2666,49,930308,1993,3,3218,3218,49,M,31,30,71393.6,84266.4,9,35585.2,31023.2,0,0
944,70,930308,1993,3,1138,1138,70,F,26,20,445563.6,450414.4,13,222022.3,231387.2,0,0
1545,1,930308,1993,3,1874,1874,1,M,50,50,86784.1,93619.2,8,465815.3,458719.2,0,0
2453,1,930308,1993,3,2962,2962,1,M,58,50,81111,79250.4,10,40643.2,38755.2,0,0
3734,43,930308,1993,3,4506,4506,11,F,42,40,71784.4,93375.2,8,64473.9,68076.8,0,0
3935,23,930308,1993,3,4745,4745,68,F,48,40,294538.5,289068.2,10,297362.9,304021.2,0,0
396,21,930308,1993,3,478,478,21,M,18,10,304948.4,304239.2,10,304538.5,313259.2,0,0
2694,7,930308,1993,3,3251,3251,52,F,34,30,500692.4,485398.4,12,235280.1,218799.2,0,0
4596,74,930309,1993,3,5539,5539,74,M,61,60,289534.6,260895.2,9,519660,517675.2,0,0
2489,72,930309,1993,3,3005,3005,43,M,65,60,70356.6,78263.2,6,70424.1,61373.2,0,0
2895,19,930309,1993,3,3499,3499,19,M,27,20,237346.1,244931.2,9,237280.1,214991.2,0,0
317,76,930310,1993,3,387,387,76,M,69,60,72533.5,62401.2,6,72459.3,79091.2,0,0
2555,53,930310,1993,3,3085,3085,62,F,50,50,500728.6,481990.4,12,250652.1,249155.2,0,0
494,60,930311,1993,3,593,593,60,F,42,40,226258.6,260029.2,9,256828.2,247765.2,0,0
2219,60,930311,1993,3,2688,2688,60,F,29,20,589849.5,555509.2,10,620303.4,658692.2,0,0
2581,72,930311,1993,3,3115,3115,72,M,35,30,260583.6,252603.2,10,258162.2,251923.2,0,0
112,6,930312,1993,3,134,134,6,M,64,60,159804.4,156834.4,13,80442.3,82567.2,0,0
3674,38,930312,1993,3,4428,4428,38,M,42,40,673060.7,683260.2,11,604460,614532.2,0,0
2039,44,930312,1993,3,2475,2475,44,F,14,10,107151.5,114875.2,8,70405.3,61675.2,0,0
2712,9,930312,1993,3,3272,3272,9,F,76,70,161512.2,180954.4,11,80237.7,82957.2,0,0
395,1,930312,1993,3,476,476,1,F,49,40,577817.6,593838.4,12,288332.1,288419.2,0,0
2974,9,930313,1993,3,3591,3591,74,M,66,60,138183.8,128774.4,11,69178.5,70747.2,0,0
123,21,930313,1993,3,147,147,21,F,63,60,117711.8,116614.4,11,58876,55257.2,0,0
9640,1,930313,1993,3,11558,11866,1,M,59,50,543170,511393.6,11,372195.5,358935.5,0,0
3108,53,930314,1993,3,3758,3758,53,F,33,30,74926.2,77738.4,10,37479.7,33979.2,0,0
2508,34,930314,1993,3,3028,3028,34,F,64,60,52112.6,61171.2,7,52061.9,48991.2,0,0
2458,40,930314,1993,3,2968,2968,40,M,34,30,338400.9,336506,10,338407.1,338060,0,0
588,66,930314,1993,3,706,706,1,M,48,40,101070.4,112903.2,8,100092.9,97523.2,0,0
7231,10,930314,1993,3,8726,8726,10,M,43,40,530110.5,507906.2,10,509620.6,493234.2,0,0
6701,49,930315,1993,3,8091,8091,5,M,25,20,1040784.7,1020970.2,10,819538.4,776660,0,0
3883,72,930315,1993,3,4680,4680,72,F,17,10,81569.3,99475.2,7,89115.9,75375.2,0,0
222,37,930315,1993,3,267,267,37,M,29,20,449492.4,446223.2,9,449559.3,453539.2,0,1
2497,65,930316,1993,3,3015,3015,73,M,44,40,78873.7,78135.2,8,79256.5,65615.2,0,0
1372,1,930316,1993,3,1660,1660,1,F,14,10,96817.7,84275.2,7,96984.4,99375.2,0,0
3835,50,930316,1993,3,4622,4622,50,F,24,20,190023.9,195583.2,8,192062.7,192183.2,0,0
7445,64,930318,1993,3,8918,9226,64,F,57,50,914403.4,860166.4,11,507274.2,554901.2,0,0
2527,38,930319,1993,3,3049,3049,6,M,29,20,1239047.6,1176608.4,11,246019.9,225263.2,0,0
425,9,930319,1993,3,511,511,9,M,37,30,90911.1,89515.2,7,90131.8,75655.2,0,0
860,1,930319,1993,3,1037,1037,1,F,31,30,175306.7,184027.2,8,173016.7,173547.2,0,0
6034,6,930319,1993,3,7291,7291,77,F,56,50,157023.8,170932.2,9,411866,401638.8,0,0
11065,11,930319,1993,3,13295,13603,46,M,55,50,156056.2,179015.2,9,155368.5,166415.2,0,0
9883,1,930319,1993,3,11855,12163,1,M,42,40,251197.5,241374,10,441819.6,449684.2,0,0
115,68,930319,1993,3,138,138,54,F,24,20,109752,99595.2,8,114552.4,110295.2,0,1
1189,59,930319,1993,3,1433,1433,72,F,37,30,84957.8,81902.4,10,42523,39271.2,0,0
3675,64,930320,1993,3,4429,4429,64,M,51,50,1205126.4,1269164.4,12,602606.4,591163.2,0,0
3069,66,930320,1993,3,3711,3711,25,M,28,20,304266.9,316523.2,10,304694.8,283823.2,0,0
2762,19,930320,1993,3,3335,3335,11,M,29,20,720734.7,663027.2,11,699707.3,704486.2,0,0
892,70,930320,1993,3,1075,1075,65,F,62,60,75250.9,83445.2,7,75290.6,62705.2,0,0
1535,46,930320,1993,3,1861,1861,29,M,39,30,95612.5,86559.2,8,98359.8,78099.2,0,0
2618,60,930321,1993,3,3159,3159,24,M,66,60,79584.3,85711.2,8,79725.3,78131.2,0,0
2651,2,930321,1993,3,3197,3197,1,M,38,30,940444.8,972226.4,12,475283.8,477332.2,0,0
5442,34,930322,1993,3,6567,6567,5,F,18,10,619567.4,588822,10,196211.3,190843.9,0,0
1787,30,930322,1993,3,2166,2166,30,F,49,40,471989.2,433355,10,141765.4,179182.8,0,0
1397,17,930322,1993,3,1691,1691,21,F,18,10,232231,260303.2,10,227094.1,226783.2,0,0
3785,10,930324,1993,3,4563,4563,10,F,25,20,653597.8,678278.4,13,331165.2,315199.2,0,0
623,1,930324,1993,3,748,748,25,M,60,60,76686.8,86558.4,9,38204.8,38279.2,0,0
8260,31,930324,1993,3,9890,10198,31,M,20,20,980802.6,935639.2,13,506688.5,486251.8,0,0
3678,1,930324,1993,3,4433,4433,1,M,28,20,161112.7,156283.2,8,115723,128836.6,0,0
